,time,value
0,1956.0,284
1,1956.25,213
2,1956.5,227
3,1956.75,308
4,1957.0,262
5,1957.25,228
6,1957.5,236
7,1957.75,320
8,1958.0,272
9,1958.25,233
10,1958.5,237
11,1958.75,313
12,1959.0,261
13,1959.25,227
14,1959.5,250
15,1959.75,314
16,1960.0,286
17,1960.25,227
18,1960.5,260
19,1960.75,311
20,1961.0,295
21,1961.25,233
22,1961.5,257
23,1961.75,339
24,1962.0,279
25,1962.25,250
26,1962.5,270
27,1962.75,346
28,1963.0,294
29,1963.25,255
30,1963.5,278
31,1963.75,363
32,1964.0,313
33,1964.25,273
34,1964.5,300
35,1964.75,370
36,1965.0,331
37,1965.25,288
38,1965.5,306
39,1965.75,386
40,1966.0,335
41,1966.25,288
42,1966.5,308
43,1966.75,402
44,1967.0,353
45,1967.25,316
46,1967.5,325
47,1967.75,405
48,1968.0,393
49,1968.25,319
50,1968.5,327
51,1968.75,442
52,1969.0,383
53,1969.25,332
54,1969.5,361
55,1969.75,446
56,1970.0,387
57,1970.25,357
58,1970.5,374
59,1970.75,466
60,1971.0,410
61,1971.25,370
62,1971.5,379
63,1971.75,487
64,1972.0,419
65,1972.25,378
66,1972.5,393
67,1972.75,506
68,1973.0,458
69,1973.25,387
70,1973.5,427
71,1973.75,565
72,1974.0,465
73,1974.25,445
74,1974.5,450
75,1974.75,556
76,1975.0,500
77,1975.25,452
78,1975.5,435
79,1975.75,554
80,1976.0,510
81,1976.25,433
82,1976.5,453
83,1976.75,548
84,1977.0,486
85,1977.25,453
86,1977.5,457
87,1977.75,566
88,1978.0,515
89,1978.25,464
90,1978.5,431
91,1978.75,588
92,1979.0,503
93,1979.25,443
94,1979.5,448
95,1979.75,555
96,1980.0,513
97,1980.25,427
98,1980.5,473
99,1980.75,526
100,1981.0,548
101,1981.25,440
102,1981.5,469
103,1981.75,575
104,1982.0,493
105,1982.25,433
106,1982.5,480
107,1982.75,576
108,1983.0,475
109,1983.25,405
110,1983.5,435
111,1983.75,535
112,1984.0,453
113,1984.25,430
114,1984.5,417
115,1984.75,552
116,1985.0,464
117,1985.25,417
118,1985.5,423
119,1985.75,554
120,1986.0,459
121,1986.25,428
122,1986.5,429
123,1986.75,534
124,1987.0,481
125,1987.25,416
126,1987.5,440
127,1987.75,538
128,1988.0,474
129,1988.25,440
130,1988.5,447
131,1988.75,598
132,1989.0,467
133,1989.25,439
134,1989.5,446
135,1989.75,567
136,1990.0,485
137,1990.25,441
138,1990.5,429
139,1990.75,599
140,1991.0,464
141,1991.25,424
142,1991.5,436
143,1991.75,574
144,1992.0,443
145,1992.25,410
146,1992.5,420
147,1992.75,532
148,1993.0,433
149,1993.25,421
150,1993.5,410
151,1993.75,512
152,1994.0,449
153,1994.25,381
154,1994.5,423
155,1994.75,531
156,1995.0,426
157,1995.25,408
158,1995.5,416
159,1995.75,520
160,1996.0,409
161,1996.25,398
162,1996.5,398
163,1996.75,507
164,1997.0,432
165,1997.25,398
166,1997.5,406
167,1997.75,526
168,1998.0,428
169,1998.25,397
170,1998.5,403
171,1998.75,517
172,1999.0,435
173,1999.25,383
174,1999.5,424
175,1999.75,521
176,2000.0,421
177,2000.25,402
178,2000.5,414
179,2000.75,500
180,2001.0,451
181,2001.25,380
182,2001.5,416
183,2001.75,492
184,2002.0,428
185,2002.25,408
186,2002.5,406
187,2002.75,506
188,2003.0,435
189,2003.25,380
190,2003.5,421
191,2003.75,490
192,2004.0,435
193,2004.25,390
194,2004.5,412
195,2004.75,454
196,2005.0,416
197,2005.25,403
198,2005.5,408
199,2005.75,482
200,2006.0,438
201,2006.25,386
202,2006.5,405
203,2006.75,491
204,2007.0,427
205,2007.25,383
206,2007.5,394
207,2007.75,473
208,2008.0,420
209,2008.25,390
210,2008.5,410
211,2008.75,488
212,2009.0,415
213,2009.25,398
214,2009.5,419
215,2009.75,488
216,2010.0,414
217,2010.25,374
